,work_year,experience_level,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_normalized
1969,2022,SE,Data Science & Machine Learning,182750.0,North America,100,North America,M,0.5906265916867793
1970,2022,SE,Data Science & Machine Learning,161500.0,North America,100,North America,M,0.5171225502616311
1971,2022,MI,Data Analysis & Analytics,102640.0,North America,100,North America,M,0.3135250030482558
1972,2022,MI,Data Analysis & Analytics,66100.0,North America,100,North America,M,0.1871326419341421
1973,2022,SE,Data Science & Machine Learning,210000.0,North America,100,North America,M,0.6848847153966754
1974,2022,SE,Data Science & Machine Learning,150000.0,North America,100,North America,M,0.47734389254919796
1975,2022,SE,Data Engineering & Infrastructure,198800.0,North America,0,North America,M,0.6461437617984795
1976,2022,SE,Data Engineering & Infrastructure,122600.0,North America,0,North America,M,0.3825669167821833
1977,2022,MI,Data Engineering & Infrastructure,130000.0,North America,100,North America,M,0.4081636182667055
1978,2022,MI,Data Engineering & Infrastructure,80000.0,North America,100,North America,M,0.23521293256047437
1979,2022,SE,Data Science & Machine Learning,136000.0,North America,100,North America,M,0.42891770055145323
1980,2022,SE,Data Science & Machine Learning,104000.0,North America,100,North America,M,0.3182292616994653
1981,2022,SE,Data Analysis & Analytics,150000.0,North America,100,North America,M,0.47734389254919796
1982,2022,SE,Data Analysis & Analytics,100000.0,North America,100,North America,M,0.30439320684296683
1983,2022,EN,Data Engineering & Infrastructure,160000.0,North America,0,North America,M,0.5119340296904442
1984,2022,EN,Data Engineering & Infrastructure,135000.0,North America,0,North America,M,0.4254586868373286
1985,2022,SE,Data Engineering & Infrastructure,216000.0,North America,100,North America,M,0.7056387976814231
1986,2022,SE,Data Engineering & Infrastructure,144000.0,North America,100,North America,M,0.4565898102644502
1987,2022,EX,Data Science & Machine Learning,159000.0,North America,100,North America,M,0.5084750159763196
1988,2022,EX,Data Science & Machine Learning,130000.0,North America,100,North America,M,0.4081636182667055
1989,2022,SE,Data Analysis & Analytics,115934.0,North America,100,North America,M,0.35950913136382856
1990,2022,SE,Data Analysis & Analytics,81666.0,North America,100,North America,M,0.24097564940820598
1991,2022,SE,Data Engineering & Infrastructure,215000.0,North America,100,North America,M,0.7021797839672984
